Node_201,Node_202,Node_203,Node_204,Node_205,Node_206,Node_207,Node_208,Node_209,Node_301,Node_302,Node_303,Node_304,Node_305,Node_306,Node_307,Node_308,Node_309,Node_310,Node_311,Node_312,Node_313,Node_314,Node_315,Node_316,Node_317,Node_318,Node_401,Node_402,Node_403,Node_404,Node_405,Node_406,Node_407
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
0,3,3,3,3,2,0,2,2,0,3,2,2,2,2,2,2,2,0,0,0,2,3,2,2,2,2,2,2,2,2,2,2,2
0,5,5,5,6,5,0,5,5,0,5,5,5,5,5,4,4,5,0,0,0,5,5,5,4,5,4,5,5,5,4,5,5,4
0,7,7,7,7,7,0,7,7,0,7,7,7,7,7,6,6,7,0,0,0,7,7,7,6,7,6,7,7,7,6,7,7,6
0,7,7,7,7,7,0,7,7,0,7,7,7,7,7,7,7,7,0,0,0,7,7,7,8,7,7,7,7,7,7,7,7,7
0,7,7,7,7,7,0,7,7,0,7,7,7,7,7,7,7,7,0,0,0,7,7,7,8,7,7,7,7,7,7,7,7,7
0,7,7,7,7,7,0,7,7,0,7,7,7,7,7,7,7,7,0,0,0,7,7,7,8,7,7,7,7,7,7,7,7,7
0,7,7,7,7,7,0,7,7,0,7,7,7,7,7,7,7,7,0,0,0,7,7,7,8,7,7,7,7,7,7,7,7,7
0,7,7,7,7,7,0,7,7,0,7,7,7,7,7,7,7,7,0,0,0,7,7,7,8,7,7,7,7,7,7,7,7,7
0,7,7,7,7,7,0,7,7,0,7,7,7,7,7,7,7,7,0,0,0,7,7,7,8,7,7,7,7,7,7,7,7,7
0,7,7,7,7,7,0,7,7,0,7,7,7,7,7,7,7,7,0,0,0,7,7,7,8,7,7,7,7,7,7,7,7,7
0,7,7,7,7,7,0,7,7,0,7,7,7,7,7,7,7,7,0,0,0,7,7,7,8,7,7,7,7,7,7,7,7,7
0,7,7,7,7,7,0,7,7,0,7,7,7,7,7,7,7,7,0,0,0,7,7,7,8,7,7,7,7,7,7,7,7,7
